timestamps,TP9,AF7,AF8,TP10,Right AUX
1757889880.323,-164.062,-60.059,-461.914,-46.875,0.000
1757889880.327,-37.598,-38.574,-258.301,-37.598,0.000
1757889880.330,-15.137,-24.902,219.238,-58.594,0.000
1757889880.334,-25.879,-55.664,-49.805,-44.434,0.000
1757889880.338,-157.227,-61.035,-524.902,-69.336,0.000
1757889880.342,-84.473,-33.203,-315.918,-45.898,0.000
1757889880.346,20.508,-16.113,166.504,-22.949,0.000
1757889880.350,-21.484,-33.691,176.758,-37.598,0.000
1757889880.354,-112.793,-46.875,-313.965,-56.641,0.000
1757889880.358,-138.184,-29.785,-377.930,-83.984,0.000
1757889880.362,47.363,-14.160,21.484,-39.551,0.000
1757889880.366,-7.812,-14.648,220.215,-48.828,0.000
1757889880.370,-61.523,-46.875,-177.734,-33.203,0.000
1757889880.373,-141.602,-50.293,-468.262,-32.715,0.000
1757889880.377,-54.688,-24.414,-229.004,-32.227,0.000
1757889880.381,72.266,-17.090,120.117,-27.344,0.000
1757889880.385,-86.426,-39.551,-114.258,-69.336,0.000
1757889880.389,-134.766,-51.270,-495.117,-66.406,0.000
1757889880.393,-72.266,-28.320,-291.992,-54.688,0.000
1757889880.397,75.684,-4.395,169.922,-17.090,0.000
1757889880.401,-30.273,-25.391,95.215,-41.992,0.000
1757889880.405,-167.480,-51.758,-345.215,-64.941,0.000
1757889880.409,-110.840,-39.551,-395.996,-43.945,0.000
1757889880.413,7.324,-14.648,47.363,-25.391,0.000
1757889880.416,57.617,-21.973,178.711,-3.418,0.000
1757889880.420,-189.453,-53.223,-279.297,-68.848,0.000
1757889880.424,-131.348,-47.363,-496.094,-45.898,0.000
1757889880.428,23.926,-6.836,-163.086,1.953,0.000
1757889880.432,53.223,-1.465,215.332,-6.348,0.000
1757889880.436,-76.172,-32.227,-116.699,-34.180,0.000
1757889880.440,-217.285,-31.738,-445.312,-57.129,0.000
1757889880.444,16.602,-1.465,-164.062,4.883,0.000
1757889880.448,66.895,1.465,256.348,-23.438,0.000
1757889880.452,-35.156,-44.434,-12.695,-61.035,0.000
1757889880.455,-198.730,-59.570,-443.848,-82.520,0.000
1757889880.459,-92.773,-29.297,-229.492,-51.758,0.000
1757889880.463,81.055,-14.160,210.938,-12.207,0.000
1757889880.467,-49.805,-46.875,-17.578,-41.016,0.000
1757889880.471,-164.062,-60.059,-490.234,-49.805,0.000
1757889880.475,-160.156,-23.926,-379.395,-59.570,0.000
1757889880.479,97.168,-3.418,94.727,-6.348,0.000
1757889880.483,17.578,-20.020,207.520,-18.066,0.000
1757889880.487,-131.348,-45.410,-275.391,-49.316,0.000
1757889880.491,-145.020,-40.527,-433.105,-55.176,0.000
1757889880.495,-28.809,-17.090,-6.348,-32.227,0.000
1757889880.498,128.418,-11.719,270.508,7.812,0.000
1757889880.502,-113.770,-36.133,-125.488,-67.871,0.000
1757889880.506,-161.621,-41.504,-474.121,-86.426,0.000
1757889880.510,-57.617,-26.855,-198.730,-53.711,0.000
1757889880.514,85.938,-18.555,136.230,-9.277,0.000
1757889880.518,-0.488,-27.344,-198.242,-22.949,0.000
1757889880.522,-191.406,-29.785,-528.320,-74.707,0.000
1757889880.526,-100.098,-18.066,-355.469,-41.016,0.000
1757889880.530,35.156,-5.371,63.965,-10.254,0.000
1757889880.534,67.383,-19.531,121.094,-11.230,0.000
1757889880.538,-208.496,-40.527,-295.410,-78.613,0.000
1757889880.541,-189.453,-30.273,-426.270,-76.660,0.000
1757889880.545,49.316,-7.324,-31.738,-21.973,0.000
1757889880.549,43.945,-6.836,217.285,-24.902,0.000
1757889880.553,-67.871,-30.762,-192.383,-36.133,0.000
1757889880.557,-230.957,-38.574,-460.938,-73.242,0.000
1757889880.561,-30.273,-18.066,-216.797,-29.785,0.000
1757889880.565,126.953,-4.883,177.734,15.137,0.000
1757889880.569,-54.199,-31.250,-28.320,-8.789,0.000
1757889880.573,-216.797,-49.805,-478.516,-44.434,0.000
1757889880.577,-106.445,-27.832,-394.043,-35.645,0.000
1757889880.580,123.535,5.371,146.973,0.000,0.000
1757889880.584,19.531,-20.508,47.363,-19.043,0.000
1757889880.588,-190.918,-42.480,-439.453,-70.801,0.000
1757889880.592,-146.973,-21.973,-370.605,-81.055,0.000
1757889880.596,58.105,-11.719,103.027,-21.973,0.000
1757889880.600,65.430,-31.250,91.309,-9.277,0.000
1757889880.604,-127.930,-52.734,-391.113,-44.922,0.000
1757889880.608,-208.008,-38.574,-489.258,-71.289,0.000
1757889880.612,23.438,-5.859,-51.270,-33.691,0.000
1757889880.616,115.723,-15.137,229.980,15.137,0.000
1757889880.620,-87.891,-49.805,-267.090,-7.324,0.000
1757889880.623,-189.941,-33.203,-540.039,-41.504,0.000
1757889880.627,-51.270,-9.277,-160.156,-23.926,0.000
1757889880.631,125.977,-9.766,187.988,6.836,0.000
1757889880.635,29.785,-33.203,-112.793,-13.184,0.000
1757889880.639,-139.160,-45.898,-464.355,-51.758,0.000
1757889880.643,-152.344,-26.367,-210.449,-99.121,0.000
1757889880.647,65.918,-16.602,231.445,-53.223,0.000
1757889880.651,45.410,-45.898,18.066,-9.277,0.000
1757889880.655,-193.359,-58.594,-447.266,-65.430,0.000
1757889880.659,-142.090,-40.039,-351.074,-61.523,0.000
1757889880.663,-30.273,-35.645,94.238,-20.996,0.000
1757889880.666,78.125,-41.992,62.012,5.371,0.000
1757889880.670,-63.965,-41.992,-360.840,-47.363,0.000
1757889880.674,-224.121,-39.551,-425.781,-100.586,0.000
1757889880.678,-29.785,-23.926,-32.227,-48.340,0.000
1757889880.682,104.004,-21.973,261.230,-3.906,0.000
1757889880.686,-38.574,-49.316,-84.961,-19.043,0.000
1757889880.690,-161.621,-55.664,-434.570,-30.273,0.000
1757889880.694,-96.680,-28.320,-206.543,-45.410,0.000
1757889880.698,70.801,-12.695,209.961,-30.762,0.000
1757889880.702,72.754,-37.598,-50.293,-4.883,0.000
1757889880.706,-176.758,-50.293,-418.457,-57.129,0.000
1757889880.709,-153.809,-42.480,-379.883,-62.988,0.000
1757889880.713,68.359,-11.230,15.625,-26.367,0.000
1757889880.717,40.039,-23.926,152.344,-42.969,0.000
1757889880.721,-83.496,-59.082,-311.035,-45.898,0.000
1757889880.725,-179.199,-43.945,-401.367,-73.730,0.000
1757889880.729,-12.695,-17.090,59.570,-51.270,0.000
1757889880.733,109.375,-25.879,257.812,4.395,0.000
1757889880.737,-79.102,-51.758,-194.824,-29.785,0.000
1757889880.741,-125.977,-51.758,-450.195,-41.016,0.000
1757889880.745,-63.965,-25.391,-34.180,-38.086,0.000
1757889880.748,75.195,-14.160,250.488,-17.578,0.000
1757889880.752,45.898,-45.410,-194.824,9.766,0.000
1757889880.756,-154.785,-51.758,-533.691,-31.250,0.000
1757889880.760,-58.105,-19.043,-245.117,-56.641,0.000
1757889880.764,88.867,-5.371,222.168,-25.879,0.000
1757889880.768,10.742,-36.621,31.738,-15.137,0.000
1757889880.772,-83.008,-56.641,-409.668,-15.137,0.000
1757889880.776,-127.441,-35.156,-253.906,-54.199,0.000
1757889880.780,-12.207,-14.160,201.660,-64.453,0.000
1757889880.784,80.566,-33.691,149.414,-12.695,0.000
1757889880.788,-107.422,-54.688,-302.246,-35.645,0.000
1757889880.791,-134.766,-40.527,-409.668,-54.688,0.000
1757889880.795,-10.254,-20.508,20.020,-42.480,0.000
