timestamps,TP9,AF7,AF8,TP10,Right AUX
1757710012.580,-128.418,-1000.000,-488.770,-42.480,0.000
1757710012.584,-232.910,-1000.000,-606.934,-174.805,0.000
1757710012.587,-24.902,-993.652,-399.902,10.254,0.000
1757710012.591,178.711,-980.957,-67.383,234.863,0.000
1757710012.595,-59.082,-996.094,-282.715,44.434,0.000
1757710012.599,-265.625,-1000.000,-601.562,-167.480,0.000
1757710012.603,-102.539,-988.281,-375.000,-61.035,0.000
1757710012.607,162.109,-976.074,168.945,187.012,0.000
1757710012.611,18.555,-1000.000,-57.129,123.535,0.000
1757710012.615,-236.816,-1000.000,-631.836,-141.113,0.000
1757710012.619,-177.734,-998.535,-527.344,-126.953,0.000
1757710012.623,104.980,-989.746,79.590,153.809,0.000
1757710012.626,105.469,-995.117,-61.523,183.594,0.000
1757710012.630,-188.965,-998.535,-717.285,-74.707,0.000
